order_id,customer_id,order_total,item_count,order_date,status
6174,622871,688.5,2,2025-11-03,shipped
6175,566503,1189.11,4,2025-09-22,delivered
6176,944700,308.58,1,2026-06-30,returned
6177,90445,734.36,6,2024-10-05,returned
6178,244043,693.62,23,2025-01-27,pending
6179,441253,1008.52,23,2025-06-22,delivered
6180,637370,1398.29,9,2025-11-14,delivered
6181,729753,793.08,1,2026-01-21,delivered
6182,652330,955.04,13,2025-11-25,delivered
6183,898211,1242.17,21,2026-05-26,cancelled
6184,136588,217.83,7,2024-11-08,delivered
6185,127778,505.45,11,2024-11-01,confirmed
6186,253805,2382.78,25,2025-02-03,returned
6187,190224,994.96,13,2024-12-18,returned
6188,786989,779.67,23,2026-03-05,returned
6189,663153,1849.59,12,2025-12-03,delivered
6190,735017,1091.01,7,2026-01-25,pending
6191,990833,947.78,16,2026-02-24,shipped
6192,774927,2111.75,14,2025-06-29,cancelled
6193,451876,2485.1,24,2024-10-09,shipped
6194,96664,751.72,14,2025-12-27,returned
6195,695298,1987.28,15,2026-05-09,confirmed
6196,874958,444.85,23,2025-05-18,returned
6197,395013,996.43,2,2024-10-10,shipped
6198,97712,1664.22,9,2025-02-13,shipped
6199,267117,641.17,6,2024-09-17,cancelled
6200,66763,1258.1,10,2025-04-11,cancelled
6201,345027,2061.0,7,2026-06-07,confirmed
6202,914828,609.48,18,2024-11-26,returned
6203,161397,428.53,17,2026-07-27,shipped
6204,982056,1362.58,19,2026-05-22,shipped
6205,892910,23.71,20,2025-11-28,cancelled
6206,657010,650.96,6,2024-09-29,pending
6207,82404,2252.79,18,2025-04-25,delivered
6208,363948,1727.55,3,2025-02-17,returned
6209,273339,1887.26,24,2025-09-04,returned
6210,541859,1218.03,19,2024-08-31,delivered
6211,43019,2017.26,1,2025-08-02,shipped
6212,497573,533.17,17,2025-12-14,shipped
6213,678356,1909.14,12,2025-08-17,cancelled
6214,516830,2197.08,9,2024-11-16,confirmed
6215,146988,1056.63,15,2025-12-07,returned
6216,669177,2232.41,16,2025-02-27,cancelled
6217,286999,2213.87,6,2025-01-28,delivered
6218,246288,56.46,10,2024-09-05,shipped
6219,50118,432.64,14,2025-01-22,pending
6220,237371,271.51,23,2025-07-16,shipped
6221,473572,1196.73,25,2024-12-05,delivered
6222,173783,1207.09,13,2026-02-14,delivered
6223,761069,1584.74,24,2026-06-01,pending
6224,905689,2365.42,24,2025-11-11,pending
6225,633487,2111.11,6,2026-03-25,cancelled
6226,814802,2231.0,17,2024-11-09,shipped
6227,137523,1107.15,14,2026-05-01,returned
6228,864867,301.51,2,2024-10-16,shipped
6229,105770,1112.15,2,2025-02-01,delivered
6230,251807,2018.84,4,2025-08-01,returned
6231,495345,1204.94,5,2024-11-26,returned
6232,160421,929.03,11,2025-01-24,pending
6233,240218,524.1,11,2025-01-01,cancelled
6234,209806,2131.2,12,2026-07-30,pending
6235,985857,447.0,20,2024-08-17,delivered
6236,24349,1526.67,9,2026-03-21,shipped
6237,808635,659.44,1,2025-11-24,delivered
6238,651349,1445.75,22,2026-03-26,returned
6239,815687,1170.76,19,2025-01-14,pending
6240,226974,1978.31,16,2025-12-10,delivered
6241,672302,690.22,18,2026-04-30,returned
6242,862346,2209.02,7,2025-06-29,confirmed
6243,451170,1833.49,15,2025-04-15,returned
6244,350481,676.99,10,2024-08-29,delivered
6245,41010,1916.36,1,2025-08-26,pending
6246,529680,266.82,3,2026-07-05,pending
6247,952381,2070.11,7,2025-10-15,cancelled
6248,596419,1510.09,12,2025-07-12,delivered
6249,468166,421.84,23,2025-12-05,returned
6250,665406,1495.46,20,2024-11-22,confirmed
6251,155811,490.78,11,2026-05-03,shipped
6252,867107,1863.21,23,2026-02-04,pending
6253,748598,2289.74,1,2026-03-02,cancelled
6254,782944,404.47,8,2024-12-25,cancelled
6255,200798,2368.6,18,2026-06-21,pending
6256,933118,72.46,8,2025-08-07,pending
6257,504310,968.31,23,2026-01-18,confirmed
6258,725706,126.06,4,2026-03-02,delivered
6259,783506,257.59,2,2025-08-22,delivered
6260,523675,1468.26,12,2024-10-12,cancelled
6261,100346,2447.2,2,2025-11-27,delivered
6262,655523,1489.91,2,2026-05-27,shipped
6263,899032,2184.21,6,2025-03-18,cancelled
6264,311688,1415.91,22,2025-10-04,confirmed
6265,582079,544.31,12,2024-08-21,shipped
6266,30148,1617.62,7,2024-09-06,cancelled
6267,51111,2314.4,2,2024-09-09,confirmed
6268,55261,2063.03,23,2025-09-21,returned
6269,565185,1743.39,9,2025-06-28,pending
6270,450525,2097.23,19,2025-11-20,delivered
6271,645638,382.99,3,2026-03-25,shipped
6272,814068,1610.18,16,2025-11-05,cancelled
6273,625383,1992.76,10,2025-05-02,delivered
6274,373409,717.37,23,2024-08-16,shipped
6275,23053,726.76,13,2026-05-02,shipped
6276,993792,49.7,1,2024-12-09,pending
6277,865415,244.9,22,2025-12-04,confirmed
6278,178548,665.71,9,2025-12-12,shipped
6279,664783,1389.6,10,2024-10-21,shipped
6280,675597,2100.72,23,2025-10-20,cancelled
6281,111811,1154.32,8,2026-03-12,confirmed
6282,603105,1067.78,2,2026-05-23,confirmed
6283,797023,1465.04,1,2026-01-07,returned
6284,893704,151.4,1,2026-06-14,delivered
6285,711030,2106.94,24,2024-12-20,confirmed
6286,923759,946.72,19,2024-09-07,returned
6287,193021,1547.72,5,2025-03-01,delivered
6288,53006,414.08,4,2025-09-10,returned
6289,288768,526.84,20,2025-06-04,pending
6290,550264,2419.04,7,2026-05-31,confirmed
6291,417516,344.37,19,2024-11-04,returned
6292,904966,1679.32,19,2026-02-28,delivered
6293,130602,308.48,11,2026-07-22,cancelled
6294,781265,1394.64,9,2026-07-24,pending
6295,974359,138.61,22,2025-11-06,cancelled
6296,977218,1441.77,22,2025-10-27,delivered
6297,627219,386.03,23,2026-01-19,cancelled
6298,613314,2147.91,25,2025-10-13,returned
6299,726801,1407.52,16,2025-04-14,cancelled
6300,594665,1487.54,13,2025-03-31,shipped
6301,347994,2437.1,15,2025-09-14,confirmed
6302,329586,611.23,3,2025-04-04,returned
6303,554677,775.83,3,2025-01-02,returned
6304,334823,873.05,22,2026-07-04,returned
6305,211020,1038.05,19,2026-07-30,pending
6306,950335,764.82,11,2025-09-19,confirmed
6307,985674,162.69,1,2024-11-07,confirmed
6308,561397,932.64,1,2026-03-06,shipped
6309,135292,227.21,4,2025-01-31,cancelled
6310,788891,1898.52,7,2025-12-30,confirmed
