revenue_date,gross_revenue,net_revenue,order_count,refund_amount
2025-04-17,888.82,292.56,8,1429.09
2025-08-28,1339.95,81.06,6,461.64
2024-12-29,514.34,781.66,21,468.83
2026-03-01,1973.47,921.78,9,2043.59
2025-07-06,1161.43,917.05,5,227.14
2026-01-07,1791.15,1154.81,11,2106.16
2026-04-09,2106.3,935.44,9,2091.84
2025-11-28,1656.95,2151.42,18,2335.66
2025-08-29,1343.56,381.64,14,1837.62
2025-06-22,1113.87,1682.72,6,1912.62
2026-07-04,2398.81,229.18,4,900.56
2025-10-02,1462.38,1128.33,23,1428.49
2025-06-07,1062.14,1407.2,15,2230.81
2025-09-20,1419.47,1910.03,23,595.56
2024-11-13,357.22,1609.52,9,1996.41
2025-09-22,1428.08,2153.21,25,212.94
2026-04-11,2112.15,342.64,22,1461.25
2024-11-29,413.97,2015.93,16,619.16
2026-07-14,2434.01,856.32,3,1204.75
2026-05-25,2261.77,1574.84,25,1913.28
2024-09-07,128.35,2089.78,23,1843.68
2024-11-13,357.13,554.32,11,1515.45
2024-12-27,507.6,1909.96,10,233.28
2024-09-24,188.77,1895.27,23,454.84
2026-04-13,2118.37,1401.44,3,1539.13
2026-04-17,2134.5,27.73,18,1430.69
2024-09-18,168.28,1007.63,15,77.36
2025-08-07,1270.11,1946.05,16,1431.93
2026-06-12,2322.58,1967.29,2,1448.13
2025-04-27,920.02,1123.4,8,1958.14
2024-08-23,78.4,1108.19,11,2310.18
2024-12-30,518.97,782.6,21,59.26
2025-06-19,1100.83,1213.9,18,82.39
2024-10-10,241.84,1451.27,22,1834.17
2025-06-25,1122.73,76.78,12,1876.83
2025-08-05,1263.42,1503.94,23,652.74
2026-05-02,2182.77,701.58,1,1117.13
2026-07-30,2488.44,1628.17,5,1836.01
2025-12-31,1767.63,601.76,18,2405.73
2025-06-29,1135.84,2068.83,25,157.5
2025-05-05,949.25,5.07,14,1680.72
2025-10-27,1547.46,1293.48,20,307.39
2026-02-06,1894.54,2122.57,7,1496.55
2025-12-17,1719.68,1737.88,11,2414.92
2026-03-18,2031.98,2023.25,24,2413.06
2026-06-15,2335.78,1075.39,24,1868.06
2024-08-20,67.08,1843.98,19,2126.17
2025-11-28,1656.1,69.46,13,209.87
2025-10-15,1503.5,1949.98,20,757.47
2024-08-20,68.24,2244.79,11,702.66
2025-09-17,1410.33,1614.2,15,111.39
2025-04-13,873.18,928.46,1,1083.68
2026-03-12,2008.67,875.39,3,581.93
2025-11-07,1582.49,1234.17,13,1255.22
2025-08-26,1333.53,2162.12,1,1553.83
2024-08-22,76.22,1624.86,22,1551.3
2026-06-24,2366.48,1868.68,10,2257.2
2024-10-01,210.77,1671.11,22,863.19
2026-07-27,2478.38,1316.48,13,458.66
2025-01-10,555.66,1617.04,16,871.34
2026-02-11,1910.85,890.54,15,1497.37
2025-06-12,1076.97,2433.5,6,794.19
2024-12-31,521.98,1199.03,5,1365.6
2024-08-05,15.74,850.12,12,1693.74
2026-07-07,2410.82,1457.73,20,368.09
2025-03-28,820.34,1353.1,22,578.1
2026-06-19,2348.5,142.52,21,910.79
2025-03-14,771.31,358.7,11,355.93
2026-05-09,2209.55,2113.49,13,1529.63
2024-08-02,5.05,202.33,13,723.97
2026-04-28,2170.48,1505.59,24,184.31
2024-10-08,234.06,2312.0,5,1532.73
2026-04-06,2095.47,2043.42,19,1086.35
2025-12-16,1716.25,405.1,13,2081.42
2025-06-18,1100.26,639.43,9,500.87
2026-02-08,1902.17,105.35,4,2240.07
2026-03-21,2039.24,2170.67,4,2416.2
2025-05-27,1024.03,1485.96,5,1819.39
2026-06-18,2345.29,253.61,9,1885.12
2024-10-05,224.49,245.16,20,105.75
2025-10-19,1518.34,888.71,7,914.5
2025-06-09,1068.83,1546.51,23,10.16
2026-07-19,2449.79,1088.3,3,1855.13
2026-06-23,2363.03,239.96,21,1354.77
2026-04-15,2125.64,1359.4,8,2103.28
2024-09-30,207.11,1359.46,3,2417.57
2025-08-06,1265.79,1432.61,14,2413.0
2025-01-23,601.62,1015.06,13,107.26
2026-04-22,2150.71,1134.6,7,1810.86
2025-04-08,855.35,2389.53,7,1778.63
2025-08-01,1247.45,157.52,1,50.5
2025-04-24,911.99,988.47,13,594.99
2025-06-14,1083.88,434.77,4,2435.82
2025-02-25,714.06,1727.51,11,203.98
2025-01-16,577.7,2005.48,2,1139.49
2026-04-17,2133.62,1602.62,7,1315.15
2024-12-14,462.61,1442.18,11,48.84
2025-06-15,1089.6,2489.46,9,241.32
2024-08-13,43.17,650.83,22,1372.17
2025-07-25,1223.89,2100.45,2,1168.27
2024-11-25,398.33,910.59,21,246.51
2026-04-14,2123.17,695.06,25,1490.43
2026-02-19,1938.18,904.06,11,310.33
2024-10-09,237.54,137.22,1,1601.93
2026-02-06,1895.13,362.74,1,1632.19
2026-03-17,2026.6,315.22,24,2025.51
2025-04-03,839.84,2395.36,12,803.87
2025-03-02,729.87,1592.28,24,1708.82
2025-04-08,856.2,2290.72,4,548.61
2026-04-03,2084.76,1038.53,3,1389.86
2025-05-09,962.46,1179.35,9,128.21
2026-03-20,2036.26,927.52,10,1034.51
2024-08-29,98.23,1715.07,25,921.81
2026-06-17,2342.98,2048.42,16,1021.83
2024-10-10,242.62,737.36,9,233.79
2025-06-03,1049.32,408.82,2,2364.78
2025-04-30,931.2,2219.07,5,1094.6
2024-11-14,361.1,2086.79,9,884.76
2025-09-21,1423.31,719.68,13,1182.53
2025-12-06,1683.65,1917.01,6,1724.12
