metric_date,total_revenue,total_orders,avg_order_value
2026-01-19,1836.94,11,2160.89
2026-02-16,1932.72,20,1150.23
2025-04-16,886.29,11,956.69
2025-09-04,1368.3,3,217.9
2026-05-13,2224.83,22,637.08
2025-08-16,1304.15,19,177.96
2025-10-19,1522.69,9,1702.89
2026-07-26,2476.44,3,51.56
2025-03-05,742.58,4,1016.84
2025-09-08,1382.11,24,118.11
2026-06-03,2298.14,1,1503.94
2026-03-08,1998.99,8,529.49
2025-08-04,1262.9,12,1450.33
2025-06-11,1079.55,6,2091.68
2025-09-24,1435.12,21,1853.15
2024-11-30,420.21,18,899.75
2025-07-16,1197.38,10,585.54
2026-05-10,2216.36,19,2382.98
2026-07-26,2477.96,16,2067.95
2025-04-26,920.61,5,15.96
2025-10-06,1476.75,8,890.12
2026-04-06,2097.65,10,2156.71
2024-11-16,373.29,12,1633.99
2026-04-18,2139.47,18,1734.87
2026-06-02,2294.21,25,1961.68
2026-04-26,2165.81,21,1124.93
2025-10-19,1522.28,10,1978.89
2024-12-06,441.64,12,603.15
2025-01-15,576.47,20,1801.24
2025-08-13,1295.1,16,621.86
2025-08-22,1324.19,18,2460.6
2026-06-05,2304.83,7,1556.49
2026-07-10,2421.69,14,1351.74
2025-05-20,1002.13,9,2010.13
2025-12-31,1771.85,5,395.19
2025-05-30,1036.72,21,1646.17
2025-04-10,865.45,1,622.92
2026-03-13,2017.35,11,2490.08
2026-05-29,2281.3,21,739.29
2025-06-20,1107.87,20,437.06
2025-05-01,938.1,5,147.48
2024-10-11,250.47,17,1325.21
2025-04-26,921.18,6,12.16
2024-10-04,226.37,10,2114.39
2026-01-01,1773.52,9,245.67
2026-04-28,2174.73,5,1107.02
2025-01-30,629.03,5,197.26
2024-10-28,306.19,10,1505.59
2025-01-23,603.29,15,1623.04
2024-09-17,167.0,3,2293.99
2025-01-03,534.11,19,305.59
2025-05-25,1019.53,23,1075.31
2025-08-15,1299.72,3,404.44
2024-08-11,40.6,6,1175.3
2025-04-19,895.86,20,2438.59
2025-04-28,929.4,11,2459.34
2026-06-28,2381.69,10,704.44
2025-08-04,1261.96,14,2053.76
2026-06-04,2300.52,10,27.0
2026-05-11,2216.93,11,965.72
2025-11-06,1583.31,13,67.19
2025-05-05,951.71,23,1167.01
2024-12-04,432.66,4,582.51
2025-08-10,1283.73,2,1055.53
2025-08-14,1296.29,3,2095.87
2025-08-27,1340.44,7,303.08
2025-01-06,545.46,2,964.1
2025-07-02,1149.15,22,1305.96
2024-10-12,252.66,8,1258.24
2025-07-07,1165.54,13,2161.73
2025-09-16,1408.31,20,2205.59
2025-04-11,871.41,5,2076.15
2026-06-30,2390.41,13,1318.12
2026-06-30,2388.92,22,776.09
2025-11-16,1616.23,23,506.82
2025-10-22,1531.75,18,1492.16
2025-04-29,931.84,1,474.99
2025-01-18,587.41,7,2281.46
2025-02-19,694.66,15,876.27
2026-02-20,1946.32,9,696.51
2025-10-06,1479.22,16,1713.84
2024-12-11,456.93,18,1174.91
2024-11-08,344.55,7,1293.52
2026-06-26,2376.77,6,1225.69
2025-10-10,1490.51,17,1775.43
2026-04-14,2124.93,14,331.14
2025-11-25,1649.36,9,654.68
2025-05-22,1010.67,13,2008.79
2025-01-25,612.36,12,1475.1
2026-03-21,2043.11,25,1759.6
2024-10-13,255.01,6,1112.12
2025-09-29,1454.99,8,2080.44
2026-03-31,2077.51,17,1226.43
2025-01-28,621.53,16,2334.21
2025-12-21,1736.23,20,1213.09
2025-06-25,1125.04,25,10.24
2025-10-08,1483.35,23,499.45
2025-03-28,821.03,14,463.59
2025-02-27,724.46,3,1706.53
2026-01-16,1824.57,15,96.75
2025-01-04,538.56,24,142.71
2026-06-01,2289.81,10,1926.89
2024-08-25,89.94,25,1073.3
2025-11-30,1664.55,19,1206.6
2024-11-04,331.9,16,1216.92
2026-02-22,1952.54,10,29.52
2025-12-06,1686.02,17,780.47
2026-01-13,1816.94,2,800.42
2025-04-25,916.77,9,2432.99
2025-01-19,590.7,24,100.88
2025-05-09,967.33,25,2435.61
2026-06-21,2357.5,2,1497.79
2025-08-02,1255.11,12,136.38
2026-04-01,2081.72,1,1548.87
2025-12-11,1704.07,6,2109.29
2025-09-14,1403.29,24,1316.87
2024-09-28,204.36,14,1331.65
2025-09-24,1436.81,16,1694.26
2026-06-05,2304.37,6,2364.74
2025-06-14,1089.99,6,2461.31
